"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
3,172274110E-1;-2,044870853E-1;-7,172732353E-1;-1,701965332E-1;7,650246546E-1
3,195925630E-1;-1,751561165E-1;-9,036669731E-1;-5,175037384E-1;1,055984745E0
3,219553340E-1;-3,210061789E-2;-1,089574099E0;-7,306609154E-1;1,312275710E0
3,243202450E-1;2,546475530E-1;-9,930257797E-1;-6,189646721E-1;1,197523628E0
3,266830160E-1;5,102515221E-3;-1,162664175E0;-5,531163216E-1;1,287537062E0
3,290480140E-1;-6,173008680E-2;-1,055676460E0;-3,148078918E-1;1,103343737E0
3,314107090E-1;1,359903812E-1;-8,931918144E-1;-2,842969894E-1;9,471587931E-1
3,337757070E-1;5,897489786E-1;-6,625013351E-1;-2,778072357E-1;9,294561512E-1
3,361384930E-1;8,568430543E-1;-5,580034256E-1;-3,188352585E-1;1,071075985E0
3,385036450E-1;9,245268106E-1;-4,047236443E-1;-3,312015533E-1;1,062189023E0
3,408661850E-1;9,734061956E-1;-4,110407829E-1;-3,819952011E-1;1,123563296E0
3,432313370E-1;8,044484258E-1;-3,279590607E-1;-3,513517380E-1;9,370925562E-1
3,455938780E-1;6,686648726E-1;-2,078022957E-1;-2,288017273E-1;7,366442401E-1
3,479590200E-1;4,386168718E-1;-2,411270142E-2;-1,687545776E-1;4,705786758E-1
3,503217910E-1;2,642470896E-1;1,199102402E-1;-5,437850952E-2;2,952321330E-1
3,526867120E-1;1,325646639E-1;1,708445549E-1;-7,674121857E-2;2,294568950E-1
3,550494830E-1;1,288797855E-1;3,825373650E-1;1,297473907E-2;4,038727257E-1
3,574144810E-1;1,283366680E-1;6,808271408E-1;1,400661469E-2;6,929589319E-1
3,597772380E-1;-3,649014235E-2;8,008728027E-1;-1,214551926E-1;8,108514910E-1
3,621421590E-1;-7,032334805E-2;1,051076412E0;5,969142914E-2;1,055116138E0
3,645049310E-1;-1,270208955E-1;1,211220741E0;1,063394547E-1;1,222496655E0
3,668700820E-1;-1,967599392E-1;1,309180737E0;3,755378723E-2;1,324416461E0
3,692326230E-1;-3,000004888E-1;1,361410141E0;5,982017517E-2;1,395355266E0
3,715977510E-1;-3,574391603E-1;1,592713833E0;2,019138336E-1;1,644770289E0
3,739602910E-1;-5,172832608E-1;1,595237732E0;1,824703217E-1;1,686908655E0
3,763254430E-1;-6,621533036E-1;1,533390522E0;6,374549866E-2;1,671465518E0
3,786882140E-1;-7,201796174E-1;1,551660538E0;-1,277446747E-1;1,715408933E0
3,810531350E-1;-8,265187740E-1;1,680911064E0;-3,109383583E-1;1,898756949E0
3,834159160E-1;-9,160174727E-1;1,396080494E0;-4,818000793E-1;1,737889545E0
3,857809140E-1;-9,960126281E-1;1,392800331E0;-6,698646545E-1;1,838655099E0
3,881436850E-1;-1,011771083E0;1,291786194E0;-7,102642059E-1;1,787978618E0
3,905086060E-1;-1,084389448E0;9,348783493E-1;-8,732571602E-1;1,677043849E0
3,928713770E-1;-1,050318599E0;7,244415283E-1;-8,285064697E-1;1,521317737E0
3,952365150E-1;-9,647879601E-1;4,276623726E-1;-7,133131027E-1;1,273784321E0
3,975990560E-1;-1,050159454E0;6,725311279E-2;-7,324829102E-1;1,282142377E0
3,999642070E-1;-1,011515021E0;-1,911783218E-1;-7,031207085E-1;1,246631670E0
4,023269790E-1;-1,044663668E0;-2,322549820E-1;-6,183414459E-1;1,235965493E0
4,046919000E-1;-1,005710840E0;-2,873864174E-1;-5,322208405E-1;1,173586073E0
4,070546710E-1;-1,139314651E0;-5,540628433E-1;-6,635918617E-1;1,430167007E0
